"Centroid Data for pc board: ""DevBoard.brd"" as of: 11/12/12 10:29 AM",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.608,0.059,180
C2,Top,0.821,0.059,0
C3,Top,0.49,0.179,180
C4,Top,0.49,0.262,180
C5,Top,0.744,0.51,0
C6,Top,0.974,0.079,270
C7,Top,1.061,0.079,270
C8,Top,0.451,0.404,270
C9,Top,0.159,0.419,270
C10,Top,0.159,0.545,90
C11,Top,0.39,0.215,90
C12,Top,0.079,0.203,270
C13,Top,0.165,0.112,270
L1,Top,1.033,0.317,180
LED1,Top,0.35,0.039,270
R1,Top,1.083,0.498,270
R2,Top,0.872,0.51,0
R3,Top,0.579,0.486,90
R4,Top,0.309,0.215,270
R5,Top,0.354,0.094,0
S1,Top,0.063,0.679,0
U1,Top,0.762,0.291,0
U2,Top,0.189,0.264,270
U3,Top,0.305,0.467,270
X1,Top,0.715,0.061,90
